experiment	branch	parent	commit	metric	secondary_metrics	status	duration_s	description
0	research/question-pyramid-tuning	—	baseline	61.7	layers=2,KEEP=48,DISCONNECT=44,MISSING=0	baseline	40	Baseline: all-leaf flat tree, 21/34 L0 touched, 13 React UI nodes never reached
1	research/question-pyramid-tuning	0	ca8d8ad	100.0	layers=3,L1=53,L2=8,L3=1,KEEP=146,DISCONNECT=95,MISSING=0	keep*	555	Branch guidance + /no_think on 4 prompts: 100% util (was 61.7%), 3 layers. Build 555s — granularity ignored, 53 leaves too many
2	research/question-pyramid-tuning	1	ca8d8ad	100.0	layers=3,L1=11,L2=6,L3=1,evidence_loop=143s,l0_extract=124s	keep*	401	Granularity guidance: cut leaves 53→11, halved evidence_loop. l0_extract still slow (complex extraction prompt). Source file links broken (Rust gap noted)
R	—	2	rust-fixes	?	wiring_fixed,file_hashes_fixed,rate_limiter,concurrency=4,jitter	checkpoint	278	Rust team fixes: $decomposed_tree alias crash, extraction_schema wiring, pyramid_file_hashes, rate limiter (4req/5s), jitter backoff
3	research/question-pyramid-tuning	R	—	100.0	layers=2,L0=34,L1=6,L2=1,KEEP=77,DISCONNECT=5	keep*	—	Re-baseline with Rust fixes. 100% util but 2 layers (flat). Decompose producing filesystem questions
4	research/question-pyramid-tuning	3	—	94.0	layers=4,L0=34,L1=7,L2=7,L3=1,KEEP=96,DISCONNECT=6,empty=6/7_L2	regression	—	Conceptual framing fix. 4 layers restored but 6/7 L2 branches "no evidence" — extraction not covering branch topics
5	research/question-pyramid-tuning	4	—	94.0	layers=4,L0=34,L1=66,L2=9,L3=1,KEEP=261,DISCONNECT=115,empty=15/76	regression	—	extraction_schema covers branches. 47k token length-out on extraction_schema (2x retry). 76 questions, 20% empty
6	research/question-pyramid-tuning	5	—	97.0	layers=4,L0=34,L1=39,L2=7,L3=1,KEEP=206,DISCONNECT=59,empty=13/47	keep*	—	Consolidated extraction_schema + no-doc-questions + corpus-calibration. Haiku assessors: CONDITIONAL PASS / FAIL. 28% empty nodes, apex decent
7	research/question-pyramid-tuning	6	—	100.0	layers=2,L0=34,L1=14,L2=1,KEEP=114,DISCONNECT=75,empty=2/14	keep*	—	v2 pipeline (extract-first). Stacked overlay problem — ran on failed tune-7 slug. Apex excellent but flat (no branches). Invalid: dual overlays
8	research/question-pyramid-tuning	7	—	97.0	layers=4,L0=34,L1=14,L2=8,L3=1,KEEP=99,DISCONNECT=19,empty=9/22	mixed	—	v2 pipeline clean slug. 4 layers, 97% util. Empty nodes WORSE (41%) — decompose sees entity mentions in L0 and asks about them. source_extract too detailed (CSS classes, prop values)
9	research/question-pyramid-tuning	8	9c2c02e	~97.0	layers=4,L0=34,total=63,empty=4/29(14%),assessorA=23/25,assessorB=15/25	keep	~280	Tightened source_extract.md (1-2 topics, role-not-impl). Empty 41%→14%. Both COND PASS (was COND/FAIL). Specificity 5/5. 4 still-absent topics (testing,CI,docs,linting). Depth quality weak — leaves repeat branches.
10	research/question-pyramid-tuning	9	c621518	100.0	layers=4,L0=34,L1=17,L2=5,L3=1,total=57,empty=8/23(35%)	discard	~240	Entity constraint backfired. Fewer entities → decompose had LESS corpus info → MORE speculative questions. Empty 14%→35%. Apex regressed to file-layout. Reset to exp 9.
11	research/question-pyramid-tuning	9	63f3896	100.0	layers=3,L0=34,L1=8,L2=1,total=43,empty=4/9(44%)	discard	~300	Decompose grounding constraint (Step 5 "verify answerable from summaries"). Tree collapsed to 3 layers. Empty nodes worsened to 44%. Speculative questions still generated. Reset to exp 9.
12	research/question-pyramid-tuning	10	323629d	100.0	layers=3,L0=34,L1=7,L2=1,total=42	invalid	~300	Invalid slug: forgot to sync the reverted decompose.md to Application Support. Backend used the destructive Ground Check from exp 11 combined with exp 12 answer.md. Layers collapsed to 3. Discard without analysis.
13	research/question-pyramid-tuning	10	323629d	100.0	layers=3,L0=34,L1=8,L2=1,total=43,empty=1/9(11%),assessorA=12/25,assessorB=14/25	mixed	~300	Re-applied exp 9 decompose, combined with exp 12 answer synthesis rules. Empty nodes reduced to 11% (1 node), but tree collapsed to 3 layers. Assessors scored FAIL/COND PASS. Depth Quality dropped to 1/5 because the branch layer was destroyed by overly aggressive DISCONNECTing.
14	research/question-pyramid-tuning	14	a60b23a	100.0	layers=4,L0=34,L1=40,L2=7,L3=1,total=82,empty=18/48(37.5%)	invalid	~300	Invalid slug: source_extract in backend was still using the discarded Exp 10 entity constraints. Decompose generated 40 questions to compensate, creating 18 empty nodes. Discarded.
15	research/question-pyramid-tuning	14	a60b23a	100.0	layers=4,L0=34,L1=5,L2=6,L3=1,total=46,empty=3/12(25%),assessorA=17/25,assessorB=10/25	mixed	~300	Clean run of decoupled triage & synthesis. Restored 4-layer structure! Assessors scored COND PASS / FAIL. Apex score hit 5/5 for Assessor A, but B failed it due to 3 empty branches (50% of L2). Empty nodes found to be a pre_map + Rust loop gap.



